GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,0,17,0,0,0,6,0,4,0,4
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,0,94,0,4,0,28,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,12,80,2,2,4,23,2,8,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,0,94,0,4,0,28,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,0,94,0,4,0,28,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,0,119,0,4,0,33,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,0,94,0,4,0,28,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.services,TradeService,0,60,0,4,0,14,0,8,0,6
spring-boot-skeleton,com.nnk.springboot.services,RatingService,0,60,0,4,0,14,0,8,0,6
spring-boot-skeleton,com.nnk.springboot.services,RuleNameService,0,60,0,4,0,14,0,8,0,6
spring-boot-skeleton,com.nnk.springboot.services,MyUserDetailsService,5,19,0,0,0,4,1,2,1,2
spring-boot-skeleton,com.nnk.springboot.services,CurvePointService,0,60,0,4,0,14,0,8,0,6
spring-boot-skeleton,com.nnk.springboot.services,UserService,0,116,0,10,0,27,0,12,0,7
spring-boot-skeleton,com.nnk.springboot.services,BidListService,0,62,0,4,0,15,0,8,0,6
spring-boot-skeleton,com.nnk.springboot.exception,NotFoundException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.exception,AlreadyExistsException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
